threshold,precision,recall,f1,tp,fp,tn,fn,tpr,fpr
0.227,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
0.228,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
0.229,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
0.23,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
0.231,0.8913043478260869,0.9647058823529412,0.9265536723163842,82,10,55,3,0.9647058823529412,0.15384615384615385
0.232,0.9010989010989011,0.9647058823529412,0.9318181818181818,82,9,56,3,0.9647058823529412,0.13846153846153847
0.233,0.9010989010989011,0.9647058823529412,0.9318181818181818,82,9,56,3,0.9647058823529412,0.13846153846153847
0.234,0.9,0.9529411764705882,0.9257142857142857,81,9,56,4,0.9529411764705882,0.13846153846153847
0.23500000000000001,0.9,0.9529411764705882,0.9257142857142857,81,9,56,4,0.9529411764705882,0.13846153846153847
0.23600000000000002,0.9,0.9529411764705882,0.9257142857142857,81,9,56,4,0.9529411764705882,0.13846153846153847
0.23700000000000002,0.9,0.9529411764705882,0.9257142857142857,81,9,56,4,0.9529411764705882,0.13846153846153847
0.23800000000000002,0.9,0.9529411764705882,0.9257142857142857,81,9,56,4,0.9529411764705882,0.13846153846153847
0.23900000000000002,0.9,0.9529411764705882,0.9257142857142857,81,9,56,4,0.9529411764705882,0.13846153846153847
0.24,0.9,0.9529411764705882,0.9257142857142857,81,9,56,4,0.9529411764705882,0.13846153846153847
0.241,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.242,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.243,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.244,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.245,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.246,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.247,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.248,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.249,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.25,0.9101123595505618,0.9529411764705882,0.9310344827586207,81,8,57,4,0.9529411764705882,0.12307692307692308
0.251,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
0.252,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
0.253,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
0.254,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
0.255,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
0.256,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
0.257,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
0.258,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
0.259,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
0.26,0.9204545454545454,0.9529411764705882,0.9364161849710982,81,7,58,4,0.9529411764705882,0.1076923076923077
